Common Name,Designation,URL
Rapeto,HD 153950,https://en.wikipedia.org/wiki/HD_153950
Pincoya,HD 164604,https://en.wikipedia.org/wiki/HD_164604
Nushagak,HD 17156,https://en.wikipedia.org/wiki/HD_17156
Lusitania,HD 45652,https://en.wikipedia.org/wiki/HD_45652
Alterf,HR 3773,https://en.wikipedia.org/wiki/Lambda_Leonis
Mesarthim,HR 546,https://en.wikipedia.org/wiki/Gamma_Arietis
Cocibolca,HD 4208,https://en.wikipedia.org/wiki/HD_4208
Taygeta,HR 1145,https://en.wikipedia.org/wiki/Taygeta
Flegetonte,HD 102195,https://en.wikipedia.org/wiki/HD_102195
Alkes,HR 4287,https://en.wikipedia.org/wiki/Alpha_Crateris
Atakoraka,WASP-64,https://en.wikipedia.org/wiki/WASP-64
Absolutno,XO-5,https://en.wikipedia.org/wiki/XO-5
Xihe,HD 173416,https://en.wikipedia.org/wiki/HD_173416
Shama,HD 99109,https://en.wikipedia.org/wiki/HD_99109
Alsciaukat,HR 3275,https://en.wikipedia.org/wiki/31_Lyncis
La Superba,HR 4846,https://en.wikipedia.org/wiki/La_Superba
Taiyi,HR 4916,https://en.wikipedia.org/wiki/8_Draconis
Celaeno,HR 1140,https://en.wikipedia.org/wiki/Celaeno_(star)
Lucilinburhuc,HD 45350,https://en.wikipedia.org/wiki/HD_45350
Diwo,WASP-17,https://en.wikipedia.org/wiki/WASP-17
Poerava,HD 221287,https://en.wikipedia.org/wiki/HD_221287
Xuange,HR 5351,https://en.wikipedia.org/wiki/Lambda_Bo%C3%B6tis
Gloas,WASP-13,https://en.wikipedia.org/wiki/WASP-13
Ainalrami,HR 7116,https://en.wikipedia.org/wiki/Nu1_Sagittarii
Alkarab,HR 8905,https://en.wikipedia.org/wiki/Upsilon_Pegasi
Dingolay,HD 96063,https://en.wikipedia.org/wiki/HD_96063
Marsic,HR 6008,https://en.wikipedia.org/wiki/Kappa_Herculis
Cervantes,HR 6585,https://en.wikipedia.org/wiki/Mu_Arae
Marfik,HR 6149,https://en.wikipedia.org/wiki/Lambda_Ophiuchi
Anadolu,WASP-52,https://en.wikipedia.org/wiki/WASP-52
Mazaalai,HAT-P-21,https://en.wikipedia.org/wiki/HAT-P-21
Copernicus,HR 3522,https://en.wikipedia.org/wiki/55_Cancri
Liesma,HD 118203,https://en.wikipedia.org/wiki/HD_118203
Intercrus,HR 3743,https://en.wikipedia.org/wiki/41_Lyncis
Samaya,HD 205739,https://en.wikipedia.org/wiki/HD_205739
Zibal,HR 984,https://en.wikipedia.org/wiki/Zeta_Eridani
Nenque,HD 6434,https://en.wikipedia.org/wiki/HD_6434
Phoenicia,HD 192263,https://en.wikipedia.org/wiki/HD_192263
Yildun,HR 6789,https://en.wikipedia.org/wiki/Delta_Ursae_Minoris
Polaris Australis,HR 7228,https://en.wikipedia.org/wiki/Sigma_Octantis
Menkib,HR 1228,https://en.wikipedia.org/wiki/Xi_Persei
Citala,HD 52265,https://en.wikipedia.org/wiki/HD_52265
Alchiba,HR 4623,https://en.wikipedia.org/wiki/Alpha_Corvi
Axolotl,HD 224693,https://en.wikipedia.org/wiki/HD_224693
Castula,HR 265,https://en.wikipedia.org/wiki/Upsilon2_Cassiopeiae
Syrma,HR 5338,https://en.wikipedia.org/wiki/Iota_Virginis
Kamuy,HD 145457,https://en.wikipedia.org/wiki/HD_145457
Itonda,HD 208487,https://en.wikipedia.org/wiki/HD_208487
Nervia,HD 49674,https://en.wikipedia.org/wiki/HD_49674
Kaveh,HD 175541,https://en.wikipedia.org/wiki/HD_175541
Wurren,HR 338,https://en.wikipedia.org/wiki/Zeta_Phoenicis
Parumleo,WASP-32,https://en.wikipedia.org/wiki/WASP-32
Jishui,HR 2930,https://en.wikipedia.org/wiki/Omicron_Geminorum
Merga,HR 5533,https://en.wikipedia.org/wiki/38_Bo%C3%B6tis
Beid,HR 1298,https://en.wikipedia.org/wiki/Omicron1_Eridani
Dofida,HD 117618,https://en.wikipedia.org/wiki/HD_117618
Lich,PSR B1257+12,https://en.wikipedia.org/wiki/PSR_B1257%2B12
Musica,HR 8030,https://en.wikipedia.org/wiki/18_Delphini
Muliphein,HR 2657,https://en.wikipedia.org/wiki/Gamma_Canis_Majoris
Solaris,BD+14 4559,https://en.wikipedia.org/wiki/BD%2B14_4559
Bosona,HD 206610,https://en.wikipedia.org/wiki/HD_206610
Gudja,HR 5879,https://en.wikipedia.org/wiki/Kappa_Serpentis
Ayeyarwady,HD 18742,https://en.wikipedia.org/wiki/HD_18742
Chalawan,HR 4277,https://en.wikipedia.org/wiki/47_Ursae_Majoris
Chaophraya,WASP-50,https://en.wikipedia.org/wiki/WASP-50
Aladfar,HR 7298,https://en.wikipedia.org/wiki/Eta_Lyrae
Felis,HR 3923,https://en.wikipedia.org/wiki/HD_85951
Kang,HR 5315,https://en.wikipedia.org/wiki/Kappa_Virginis
Timir,HD 148427,https://en.wikipedia.org/wiki/HD_148427
Uruk,HD 231701,https://en.wikipedia.org/wiki/HD_231701
Minchir,HR 3418,https://en.wikipedia.org/wiki/Sigma_Hydrae
Marohu,WASP-6,https://en.wikipedia.org/wiki/WASP-6
Hunor,HAT-P-2,https://en.wikipedia.org/wiki/HD_147506
Tangra,WASP-21,https://en.wikipedia.org/wiki/WASP-21
Asterope,HR 1151,https://en.wikipedia.org/wiki/21_Tauri
Monch,HD 130322,https://en.wikipedia.org/wiki/HD_130322
Tapecue,HD 63765,https://en.wikipedia.org/wiki/HD_63765
Nahn,HR 3627,https://en.wikipedia.org/wiki/Xi_Cancri
Koit,XO-4,https://en.wikipedia.org/wiki/XO-4
Irena,WASP-38,https://en.wikipedia.org/wiki/HD_146389
Maasym,HR 6526,https://en.wikipedia.org/wiki/Lambda_Herculis
Chason,HAT-P-5,https://en.wikipedia.org/wiki/HAT-P-5
Emiw,HD 7199,https://en.wikipedia.org/wiki/HD_7199
Naledi,WASP-62,https://en.wikipedia.org/wiki/WASP-62
Stribor,HD 75898,https://en.wikipedia.org/wiki/HD_75898
Morava,WASP-60,https://en.wikipedia.org/wiki/WASP-60
Veritate,HR 8930,https://en.wikipedia.org/wiki/14_Andromedae
Baekdu,HD 133086,https://en.wikipedia.org/wiki/8_Ursae_Minoris
Karaka,HD 137388,https://en.wikipedia.org/wiki/HD_137388
Ancha,HR 8499,https://en.wikipedia.org/wiki/Theta_Aquarii
Formosa,HD 100655,https://en.wikipedia.org/wiki/HD_100655
Arcalis,HD 131496,https://en.wikipedia.org/wiki/HD_131496
Ebla,HD 218566,https://en.wikipedia.org/wiki/HD_218566
Bibha,HD 86081,https://en.wikipedia.org/wiki/HD_86081
Gakyid,HD 73534,https://en.wikipedia.org/wiki/HD_73534
Adhil,HR 390,https://en.wikipedia.org/wiki/Xi_Andromedae
Lilii Borea,HR 824,https://en.wikipedia.org/wiki/39_Arietis
Macondo,HD 93083,https://en.wikipedia.org/wiki/HD_93083
Hunahpu,HD 98219,https://en.wikipedia.org/wiki/HD_98219
Mago,HD 32518,https://en.wikipedia.org/wiki/HD_32518
Citadelle,HD 1502,https://en.wikipedia.org/wiki/HD_1502
Merope,HR 1156,https://en.wikipedia.org/wiki/Merope_(star)
Sharjah,HIP 79431,https://en.wikipedia.org/wiki/HIP_79431
Dombay,HAT-P-3,https://en.wikipedia.org/wiki/HAT-P-3
Sagarmatha,HD 100777,https://en.wikipedia.org/wiki/HD_100777
Ceibo,HD 63454,https://en.wikipedia.org/wiki/HD_63454
Alsafi,HR 7462,https://en.wikipedia.org/wiki/Sigma_Draconis
Sham,HR 7479,https://en.wikipedia.org/wiki/Alpha_Sagittae
Mpingo,WASP-71,https://en.wikipedia.org/wiki/BD%2B00_316
Lionrock,HD 212771,https://en.wikipedia.org/wiki/HD_212771
Intan,HD 20868,https://en.wikipedia.org/wiki/HD_20868
Horna,HAT-P-38,https://en.wikipedia.org/wiki/HAT-P-38
Muspelheim,HAT-P-29,https://en.wikipedia.org/wiki/HAT-P-29
Belel,HD 181342,https://en.wikipedia.org/wiki/HD_181342
Natasha,HD 85390,https://en.wikipedia.org/wiki/HD_85390
Elkurud,HR 2177,https://en.wikipedia.org/wiki/Theta_Columbae
Inquill,HD 156411,https://en.wikipedia.org/wiki/HD_156411
Acubens,HR 3572,https://en.wikipedia.org/wiki/Alpha_Cancri
Rosaliadecastro,HD 149143,https://en.wikipedia.org/wiki/HD_149143
Izar,HR 5506,https://en.wikipedia.org/wiki/Epsilon_Bo%C3%B6tis
