Common Name,Right Ascension (HH.MM.SS),Declination (DD.SS),"Magnitude (V, Visual)",Proper Motion RA (mas/yr),Proper Motion DEC (mas/yr),Alternative Names,URL
Macondo,10.44.2091501,-33.34372880,8.30,-92.635,-152.119,"Macondo, CD−32°7598, GJ 1137, HD 93083, HIP 52521, SAO 201693, PPM 288057, GSC 07190-02048",https://en.wikipedia.org/wiki/HD_93083
Hunahpu,11.17.4755306,-23.58314969,8.05,-130.715,-16.761,"Hunahpú, CD−23 9857, HD 98219, HIP 55174, SAO 179747",https://en.wikipedia.org/wiki/HD_98219
Mago,05.09.36720,69.382185,6.42,61.031,-62.382,"Mago, AG+69°241, BD+69°302, GC 6245, HD 32518, HIP 24003, HR 1636, SAO 13382",https://en.wikipedia.org/wiki/HD_32518
Citadelle,00.19.170663772928,14.0317121365380,8.36,74.113,-16.945,"BD+13°34, Gaia DR2 2768172019308167296, HD 1502, HIP 1547, SAO 91845, TYC 601-636-1, GSC 00601-00636, 2MASS J00191704+1403172",https://en.wikipedia.org/wiki/HD_1502
Merope,03.46.195859,23.5654092,4.18,13.075,-48.404,"Merope, 23 Tau, V971 Tauri, HR 1156, BD+23°522, HD 23480, HIP 17608, SAO 76172, GC 4512, CCDM J03463+2357A",https://en.wikipedia.org/wiki/Merope_(star)
Sharjah,16.12.4177941,-18.52318117,11.34,36.447,-214.025,"Sharjah, HIP 79431, LP 804-27, NLTT 42226",https://en.wikipedia.org/wiki/HIP_79431
Dombay,13.44.225937,48.0143206,11.577,-19.619,-23.973,"Dombay, TOI-1419, TIC 311035838, TYC 3466-819-1, GSC 03466-00819, 2MASS J13442258+4801432, HAT-P-3",https://en.wikipedia.org/wiki/HAT-P-3
Sagarmatha,11.35.5152322,-04.45205046,8.42,-11.535,35.586,"Sagarmatha, BD–03°3147, HD 100777, HIP 56572, SAO 138288, TYC 4933-678-1, 2MASS J11355152-0445204",https://en.wikipedia.org/wiki/HD_100777
Ceibo,07.39.2185290,-78.16443078,9.36,-19.556,-39.926,"Ceibo, CD−77°298, CPD−77°324, HD 63454, HIP 37284, TYC 9385-1045-1",https://en.wikipedia.org/wiki/HD_63454
Alsafi,19.32.2159021,69.39402358,4.674,597.384,-1738.286,"Alsafi, σ Draconis, Sig Dra, σ Dra, 61 Draconis, BD+69°1053, GJ 764, HD 185144, HIP 96100, HR 7462, LHS 477",https://en.wikipedia.org/wiki/Sigma_Draconis
Sham,19.40.0579185,18.00500046,4.38,14.630,-20.160,"Sham, Alsahm, α Sge, 5 Sagittae, BD+17°4042, FK5 1133, GC 27215, HD 185758, HIP 96757, HR 7479, SAO 105120, PPM 136737, CCDM J19401+1801A, WDS J19401+1801A",https://en.wikipedia.org/wiki/Alpha_Sagittae
Mpingo,01.57.03204,00.453188,10.56,23.418,-6.844,"Mpingo, BD+00 316, Gaia DR2 2507901914613005056, WASP-71, TYC 30-116-1, 2MASS J01570320+0045318",https://en.wikipedia.org/wiki/BD%2B00_316
Lionrock,22.27.03072,-17.1549164,7.6,-85.892,-104.042,"BD−17°6526, HD 212771, HIP 110813, SAO 165086",https://en.wikipedia.org/wiki/HD_212771
Intan,03.20.4269371,-33.43483735,9.92,292.619,96.116,"Intan, CD−34°1218, HD 20868, HIP 15578, PPM 278952, LTT 1589, 2MASS J03204266-3343484",https://en.wikipedia.org/wiki/HD_20868
Horna,02.21.3198035,32.14460933,12.51,47.671,-21.594,"Horna, TOI-3681, TIC 285272237, GSC 02314-00559",https://en.wikipedia.org/wiki/HAT-P-38
Muspelheim,02.12.3147875,51.46435637,11.83,-9.972,1.790,"Muspelheim, TYC 3293-1539-1, GSC 03293-01539, 2MASS J02123147+5146435",https://en.wikipedia.org/wiki/HAT-P-29
Belel,19.21.0423048,-23.37104502,7.55,-46.661,-30.244,"Belel, CD−23° 15307, CPD−23° 7442, HD 181342, HIP 95124, SAO 188005",https://en.wikipedia.org/wiki/HD_181342
Natasha,09.50.024969,-49.47249576,8.54,29.8018,-60.245,"Natasha, CD–49°4727, Gaia DR2 5406324138654973824, HD 85390, HIP 48235, SAO 221526, 2MASS J09500249-4947250",https://en.wikipedia.org/wiki/HD_85390
Elkurud,06.07.3163216,-37.15105114,5.02,0.12,0.41,"Elkurud, θ Col, CD−37°2609, FK5 2468, HD 42167, HIP 29034, HR 2177, SAO 196514",https://en.wikipedia.org/wiki/Theta_Columbae
Inquill,17.19.5140072,-48.32575600,6.67,-33.443,-211.177,"Inquill, CD–48°11605, HD 156411, HIP 84787, SAO 227825, PPM 322823, NLTT 44550",https://en.wikipedia.org/wiki/HD_156411
Acubens,08.58.292042,11.5127649,4.20,42.181,-31.160,"Acubens, Sertan, Sartan, α Cnc, Alpha Cancri, Alpha Cnc, 65 Cancri, 65 Cnc, ADS 7115 A, BD+12 1948, CCDM J08585+1151A, FK5 337, GC 12406, HD 76756, HIP 44066, HR 3572, IDS 08530+1215 A, PPM 125972, SAO 98267",https://en.wikipedia.org/wiki/Alpha_Cancri
Rosaliadecastro,16.32.51051,02.050538,7.89,-9.240,-86.678,"Rosalíadecastro, BD+02°3127, HD 149143, HIP 81022, SAO 121678, PPM 162774",https://en.wikipedia.org/wiki/HD_149143
Izar,14.44.5922,27.04272,2.45,-50.95,21.07,"Izar, Pulcherrima, Mirac, Mirak, Mirach, ε Boo, 36 Boo, BD+27°2417, HIP 72105",https://en.wikipedia.org/wiki/Epsilon_Bo%C3%B6tis
